timestamp,dataset,model,experiment_type,train_limit,val_limit,test_limit,epochs,batch_size,keras_test_accuracy,accuracy,precision,recall,f1_score
2026-06-02T15:18:30,concrete_crack_images,MobileNetV2,tuned_transfer_learning,2000,500,500,5,32,0.7300000190734863,0.73,1.0,0.466403162055336,0.6361185983827493
2026-06-02T15:22:43,concrete_crack_images,MobileNetV2,tuned_transfer_learning,2000,500,500,5,32,0.9919999837875366,0.992,0.9960159362549801,0.9881422924901185,0.9920634920634921
2026-06-02T15:27:31,concrete_crack_images,MobileNetV2,tuned_transfer_learning_conservative_aug,2000,500,500,5,32,0.9940000176429749,0.994,0.9921259842519685,0.9960474308300395,0.9940828402366864
2026-06-02T15:31:56,concrete_crack_images,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,5,32,0.9929999709129333,0.993,0.9877800407331976,0.9979423868312757,0.9928352098259979
2026-06-02T15:37:51,concrete_crack_images,ResNet50,baseline_transfer_learning,5000,1000,1000,3,32,0.9309999942779541,0.931,0.986013986013986,0.8703703703703703,0.9245901639344263
2026-06-02T15:55:55,concrete_crack_images,EfficientNetB0,baseline_transfer_learning,5000,1000,1000,3,32,0.4860000014305115,0.486,0.486,1.0,0.6541049798115747
2026-06-02T16:15:09,sdnet2018,MobileNetV2,baseline_transfer_learning,5000,1000,1000,3,32,0.8999999761581421,0.9,0.8666666666666667,0.3611111111111111,0.5098039215686274
2026-06-02T16:23:09,sdnet2018,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,5,32,0.8690000176429749,0.869,0.5371428571428571,0.6527777777777778,0.5893416927899686
2026-06-02T16:31:08,sdnet2018,ResNet50,baseline_transfer_learning,5000,1000,1000,3,32,0.14399999380111694,0.144,0.144,1.0,0.2517482517482518
2026-06-02T16:34:50,sdnet2018,EfficientNetB0,baseline_transfer_learning,5000,1000,1000,3,32,0.8560000061988831,0.856,0.0,0.0,0.0
2026-06-02T16:46:14,sdnet2018,EfficientNetB0,baseline_transfer_learning,5000,1000,1000,42,3,32,0.14399999380111694,0.144,0.144,1.0,0.2517482517482518
2026-06-02T17:20:16,concrete_crack_images,MobileNetV2,baseline_transfer_learning,5000,1000,1000,42,3,32,0.9940000176429749,0.994,0.9958677685950413,0.9917695473251029,0.9938144329896907
2026-06-02T17:21:45,concrete_crack_images,MobileNetV2,baseline_transfer_learning,5000,1000,1000,7,3,32,0.9959999918937683,0.996,0.9980237154150198,0.9940944881889764,0.9960552268244576
2026-06-02T17:23:16,concrete_crack_images,MobileNetV2,baseline_transfer_learning,5000,1000,1000,123,3,32,0.9950000047683716,0.995,0.9961832061068703,0.9942857142857143,0.9952335557673975
2026-06-02T17:27:25,concrete_crack_images,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,42,5,32,0.9929999709129333,0.993,0.9938144329896907,0.9917695473251029,0.9927909371781668
2026-06-02T17:29:49,concrete_crack_images,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,7,5,32,0.996999979019165,0.997,0.9960707269155207,0.9980314960629921,0.9970501474926253
2026-06-02T17:32:13,concrete_crack_images,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,123,5,32,0.9959999918937683,0.996,0.9961904761904762,0.9961904761904762,0.9961904761904762
2026-06-02T17:36:11,sdnet2018,MobileNetV2,baseline_transfer_learning,5000,1000,1000,42,3,32,0.843999981880188,0.844,0.4727272727272727,0.7222222222222222,0.5714285714285714
2026-06-02T17:37:32,sdnet2018,MobileNetV2,baseline_transfer_learning,5000,1000,1000,7,3,32,0.8790000081062317,0.879,0.5933333333333334,0.5973154362416108,0.5953177257525084
2026-06-02T17:38:57,sdnet2018,MobileNetV2,baseline_transfer_learning,5000,1000,1000,123,3,32,0.8230000138282776,0.823,0.44155844155844154,0.68,0.5354330708661418
2026-06-02T17:44:51,sdnet2018,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,42,5,32,0.8289999961853027,0.829,0.4457831325301205,0.7708333333333334,0.5648854961832062
2026-06-02T17:47:09,sdnet2018,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,7,5,32,0.8989999890327454,0.899,0.6904761904761905,0.5838926174496645,0.6327272727272727
2026-06-02T17:49:35,sdnet2018,MobileNetV2,tuned_transfer_learning_conservative_aug,5000,1000,1000,123,5,32,0.8690000176429749,0.869,0.5629139072847682,0.5666666666666667,0.5647840531561462
